Provinsi;2012;2013
ACEH;30145;11316
SUMATERA UTARA;21761;24434
SUMATERA BARAT;45965;33436
RIAU;10824;19921
JAMBI;9095;7759
SUMATERA SELATAN;31480;23346
BENGKULU;7614;6531
LAMPUNG;8489;14364
KEP. BANGKA BELITUNG;7982;7794
KEP. RIAU;0;900
DKI JAKARTA;17418;15415
JAWA BARAT;169203;190462
JAWA TENGAH;256639;175748
DI YOGYAKARTA;19818;13777
JAWA TIMUR;362612;405883
BANTEN;33557;79503
BALI;63662;46934
NUSA TENGGARA BARAT;35026;34197
NUSA TENGGARA TIMUR;25635;20727
KALIMANTAN BARAT;28853;13930
KALIMANTAN TENGAH;15802;13975
KALIMANTAN SELATAN;19665;26110
KALIMANTAN TIMUR;39762;37414
KALIMANTAN UTARA;0;1761
SULAWESI UTARA;5586;4078
SULAWESI TENGAH;9173;13305
SULAWESI SELATAN;102474;55138
SULAWESI TENGGARA;13582;11123
GORONTALO;5945;4159
SULAWESI BARAT;2757;1710
MALUKU;3396;4189
MALUKU UTARA;1728;2088
PAPUA BARAT;9892;0
PAPUA;5779;4968
INDONESIA;1421319;1326395
