;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
4227;4228;91.0;0.0;USA;4000000.0;36200000.0;31952;372.0;235.0;0;49.0;72.0;31.0;20.0;174;5.7;Fair
1924;1925;114.0;3.0;USA;25000000.0;41597830.0;102123;660.0;174.0;0;335.0;11000.0;577.0;530.0;12624;7.6;Good
2260;2261;84.0;0.0;USA;20000000.0;15712072.0;13210;138.0;77.0;269;2.0;787.0;555.0;472.0;2915;5.8;Fair
569;570;110.0;1.0;USA;70000000.0;47456450.0;101386;289.0;234.0;0;532.0;3000.0;638.0;461.0;5187;7.1;Good
2559;2560;96.0;0.0;Spain;15500000.0;23213577.0;198111;365.0;275.0;14000;11000.0;19000.0;581.0;252.0;19894;7.2;Good
3473;3474;112.0;5.0;Germany;;31973840.0;127760;168.0;160.0;0;20.0;16000.0;109.0;61.0;16289;7.2;Good
4361;4362;96.0;4.0;USA;1800000.0;;22764;91.0;62.0;511;88.0;595.0;356.0;196.0;1432;5.5;Fair
1281;1282;128.0;1.0;USA;40000000.0;24332324.0;13830;61.0;12.0;680;545.0;783.0;754.0;353.0;3126;6.1;Good
2487;2488;99.0;1.0;USA;17000000.0;72219395.0;105585;419.0;140.0;0;13.0;45000.0;4000.0;681.0;50284;5.6;Fair
3263;3264;127.0;1.0;France;8900000.0;225377.0;70382;190.0;447.0;33000;0.0;678.0;432.0;319.0;1557;7.9;Good
1398;1399;95.0;1.0;USA;33000000.0;205399422.0;181225;784.0;199.0;0;116.0;45000.0;645.0;481.0;47203;6.6;Good
1915;1916;98.0;1.0;France;25000000.0;36833473.0;53126;254.0;116.0;0;20.0;5000.0;888.0;872.0;7945;6.6;Good
1449;1450;101.0;0.0;USA;30000000.0;37617947.0;8143;203.0;122.0;0;308.0;446.0;224.0;206.0;966;6.8;Good
2677;2678;108.0;2.0;USA;15000000.0;24984868.0;50056;152.0;172.0;0;79.0;775.0;614.0;537.0;3033;6.3;Good
1317;1318;93.0;3.0;Germany;40000000.0;652526.0;20201;187.0;66.0;823;13.0;15000.0;460.0;173.0;15638;5.1;Fair
